Method,miss_val,Perf
Greedy,0.2,0.969
SCITE,0.2,0.9734
FCNN-3,0.2,1.0
GNN-4,0.2,0.9555
Greedy,0.2,0.8813
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9787
SCITE,0.2,1.0
FCNN-3,0.2,0.9319
GNN-4,0.2,0.8107
Greedy,0.2,0.9165
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.944
GNN-4,0.2,0.8725
Greedy,0.2,0.944
SCITE,0.2,0.9702
FCNN-3,0.2,0.8472
GNN-4,0.2,1.0
Greedy,0.2,0.8106
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9172
GNN-4,0.2,1.0
Greedy,0.2,0.9172
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9597
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.8586
GNN-4,0.2,0.8079
Greedy,0.2,0.8513
SCITE,0.2,1.0
FCNN-3,0.2,0.9921
GNN-4,0.2,0.9815
Greedy,0.2,0.8568
SCITE,0.2,0.9909
FCNN-3,0.2,1.0
GNN-4,0.2,0.9733
Greedy,0.2,0.992
SCITE,0.2,1.0
FCNN-3,0.2,0.993
GNN-4,0.2,0.993
Greedy,0.2,0.993
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,0.941
FCNN-3,0.2,0.9196
GNN-4,0.2,1.0
Greedy,0.2,0.7908
SCITE,0.2,0.9917
FCNN-3,0.2,0.9909
GNN-4,0.2,1.0
Greedy,0.2,0.9909
SCITE,0.2,0.9479
FCNN-3,0.2,0.9896
GNN-4,0.2,0.9653
Greedy,0.2,0.8363
SCITE,0.2,1.0
FCNN-3,0.2,0.7823
GNN-4,0.2,0.8595
Greedy,0.2,0.728
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,0.9838
FCNN-3,0.2,1.0
GNN-4,0.2,0.9887
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.864
Greedy,0.2,0.946
SCITE,0.2,0.9829
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9856
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9146
GNN-4,0.2,0.9573
Greedy,0.2,0.8474
SCITE,0.2,0.9911
FCNN-3,0.2,0.7237
GNN-4,0.2,0.8563
Greedy,0.2,0.7472
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9609
Greedy,0.2,0.9734
SCITE,0.2,0.974
FCNN-3,0.2,0.9141
GNN-4,0.2,1.0
Greedy,0.2,0.9141
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.947
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.8955
Greedy,0.2,0.9591
SCITE,0.2,1.0
FCNN-3,0.2,0.9782
GNN-4,0.2,0.9889
Greedy,0.2,0.953
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9964
SCITE,0.2,0.9953
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.894
GNN-4,0.2,0.9193
Greedy,0.2,0.894
SCITE,0.2,0.8981
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.7022
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.8864
GNN-4,0.2,0.9872
Greedy,0.2,0.8864
SCITE,0.2,0.9978
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9748
GNN-4,0.2,0.923
Greedy,0.2,0.8408
SCITE,0.2,1.0
FCNN-3,0.2,0.9674
GNN-4,0.2,1.0
Greedy,0.2,0.9674
SCITE,0.2,1.0
FCNN-3,0.2,0.9669
GNN-4,0.2,1.0
Greedy,0.2,0.9669
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9693
SCITE,0.2,1.0
FCNN-3,0.2,0.9852
GNN-4,0.2,1.0
Greedy,0.2,0.9852
SCITE,0.2,0.9958
FCNN-3,0.2,1.0
GNN-4,0.2,0.9744
Greedy,0.2,0.814
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9883
Greedy,0.2,0.9746
SCITE,0.2,0.9157
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9653
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.8435
GNN-4,0.2,1.0
Greedy,0.2,0.8104
SCITE,0.2,1.0
FCNN-3,0.2,0.9736
GNN-4,0.2,0.8756
Greedy,0.2,0.9369
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9784
GNN-4,0.2,1.0
Greedy,0.2,0.9465
SCITE,0.2,1.0
FCNN-3,0.2,0.8561
GNN-4,0.2,0.7949
Greedy,0.2,0.8561
SCITE,0.2,1.0
FCNN-3,0.2,0.9807
GNN-4,0.2,1.0
Greedy,0.2,0.9601
SCITE,0.2,1.0
FCNN-3,0.2,0.9179
GNN-4,0.2,0.754
Greedy,0.2,0.8647
SCITE,0.2,1.0
FCNN-3,0.2,0.7771
GNN-4,0.2,1.0
Greedy,0.2,0.7187
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9374
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.836
GNN-4,0.2,0.9798
Greedy,0.2,0.836
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9941
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9825
SCITE,0.2,1.0
FCNN-3,0.2,0.892
GNN-4,0.2,0.9243
Greedy,0.2,0.8542
SCITE,0.2,1.0
FCNN-3,0.2,0.9713
GNN-4,0.2,0.8062
Greedy,0.2,0.8874
SCITE,0.2,0.9692
FCNN-3,0.2,0.957
GNN-4,0.2,0.9093
Greedy,0.2,0.7204
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9772
Greedy,0.2,1.0
SCITE,0.2,0.9228
FCNN-3,0.2,0.91
GNN-4,0.2,0.91
Greedy,0.2,0.8092
SCITE,0.2,1.0
FCNN-3,0.2,0.9029
GNN-4,0.2,0.9094
Greedy,0.2,0.8341
SCITE,0.2,0.9795
FCNN-3,0.2,0.88
GNN-4,0.2,1.0
Greedy,0.2,0.88
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,0.9886
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9601
GNN-4,0.2,0.8904
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,0.9868
FCNN-3,0.2,0.9838
GNN-4,0.2,1.0
Greedy,0.2,0.9475
SCITE,0.2,1.0
FCNN-3,0.2,0.9971
GNN-4,0.2,1.0
Greedy,0.2,0.9971
SCITE,0.2,0.9786
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9643
SCITE,0.2,0.9575
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9935
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9245
SCITE,0.2,1.0
FCNN-3,0.2,0.9842
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9399
GNN-4,0.2,1.0
Greedy,0.2,0.9339
SCITE,0.2,0.9586
