Method,Beta,Perf
FCNN-3,0.2,-15.9287
GNN-4,0.2,-20.3108
Greedy,0.2,-15.9287
SCITE,0.2,-0.0
FCNN-3,0.2,4.382
GNN-4,0.2,2.7826
Greedy,0.2,2.7826
SCITE,0.2,4.382
FCNN-3,0.2,-28.0218
GNN-4,0.2,-11.1957
Greedy,0.2,-59.8793
SCITE,0.2,4.3821
FCNN-3,0.2,-5.2143
GNN-4,0.2,-31.5716
Greedy,0.2,-64.6123
SCITE,0.2,5.9814
FCNN-3,0.2,-2.3665
GNN-4,0.2,5.2143
Greedy,0.2,-2.3665
SCITE,0.2,6.3976
FCNN-3,0.2,3.1988
GNN-4,0.2,-3.9659
Greedy,0.2,3.1988
SCITE,0.2,3.1988
FCNN-3,0.2,-2.7826
GNN-4,0.2,-3.1987
Greedy,0.2,-2.7826
SCITE,0.2,1.1833
FCNN-3,0.2,0.0
GNN-4,0.2,-2.4317
Greedy,0.2,-4.3821
SCITE,0.2,-0.0
FCNN-3,0.2,-33.171
GNN-4,0.2,-73.0254
Greedy,0.2,-63.0781
SCITE,0.2,5.5653
FCNN-3,0.2,5.5653
GNN-4,0.2,1.9504
Greedy,0.2,-3.1988
SCITE,0.2,8.7641
FCNN-3,0.2,-16.3449
GNN-4,0.2,1.5994
Greedy,0.2,-16.3449
SCITE,0.2,3.1987
FCNN-3,0.2,1.5994
GNN-4,0.2,-23.9256
Greedy,0.2,-9.9473
SCITE,0.2,1.5994
FCNN-3,0.2,0.4161
GNN-4,0.2,9.1802
Greedy,0.2,-8.3479
SCITE,0.2,9.1802
FCNN-3,0.2,4.7982
GNN-4,0.2,-8.3479
Greedy,0.2,3.1988
SCITE,0.2,9.1802
FCNN-3,0.2,-14.3945
GNN-4,0.2,-3.1988
Greedy,0.2,-41.4538
SCITE,0.2,4.382
FCNN-3,0.2,1.5994
GNN-4,0.2,-3.9659
Greedy,0.2,-2.7827
SCITE,0.2,1.5994
FCNN-3,0.2,0.0
GNN-4,0.2,-11.5467
Greedy,0.2,0.0
SCITE,0.2,-0.0
FCNN-3,0.2,-1.1832
GNN-4,0.2,-6.7485
Greedy,0.2,-1.1832
SCITE,0.2,1.5994
FCNN-3,0.2,-9.9473
GNN-4,0.2,3.1988
Greedy,0.2,-53.0656
SCITE,0.2,9.1802
FCNN-3,0.2,6.3976
GNN-4,0.2,6.3976
Greedy,0.2,6.3976
SCITE,0.2,6.3976
FCNN-3,0.2,7.5808
GNN-4,0.2,6.3976
Greedy,0.2,7.5808
SCITE,0.2,7.5808
FCNN-3,0.2,4.7982
GNN-4,0.2,4.7982
Greedy,0.2,4.7982
SCITE,0.2,9.1802
FCNN-3,0.2,-24.2766
GNN-4,0.2,-2.7826
Greedy,0.2,-28.6587
SCITE,0.2,4.7982
FCNN-3,0.2,1.5994
GNN-4,0.2,0.0
Greedy,0.2,-2.7827
SCITE,0.2,1.5994
FCNN-3,0.2,1.5994
GNN-4,0.2,1.5994
Greedy,0.2,-2.7826
SCITE,0.2,1.5994
FCNN-3,0.2,-34.6401
GNN-4,0.2,-29.9722
Greedy,0.2,-76.51
SCITE,0.2,1.5994
FCNN-3,0.2,2.7826
GNN-4,0.2,0.0
Greedy,0.2,2.7826
SCITE,0.2,2.7826
FCNN-3,0.2,-1.5994
GNN-4,0.2,-5.6304
Greedy,0.2,-1.5994
SCITE,0.2,1.1833
FCNN-3,0.2,-35.9536
GNN-4,0.2,-17.1771
Greedy,0.2,-61.0625
SCITE,0.2,0.0
FCNN-3,0.2,0.4161
GNN-4,0.2,-2.3665
Greedy,0.2,-11.1306
SCITE,0.2,2.0155
FCNN-3,0.2,-11.5467
GNN-4,0.2,2.7826
Greedy,0.2,-7.1647
SCITE,0.2,5.9814
FCNN-3,0.2,-64.6775
GNN-4,0.2,-64.6775
Greedy,0.2,-64.6775
SCITE,0.2,1.5993
FCNN-3,0.2,3.1988
GNN-4,0.2,0.4162
Greedy,0.2,-11.1305
SCITE,0.2,3.1988
FCNN-3,0.2,0.0
GNN-4,0.2,-3.1988
Greedy,0.2,-8.7641
SCITE,0.2,4.382
FCNN-3,0.2,-10.3634
GNN-4,0.2,-18.3604
Greedy,0.2,-33.8729
SCITE,0.2,2.7827
FCNN-3,0.2,0.0
GNN-4,0.2,-2.7826
Greedy,0.2,0.0
SCITE,0.2,0.0
FCNN-3,0.2,6.8137
GNN-4,0.2,-1.9503
Greedy,0.2,-19.4785
SCITE,0.2,6.8137
FCNN-3,0.2,2.0155
GNN-4,0.2,-23.1585
Greedy,0.2,-31.0903
SCITE,0.2,6.3976
FCNN-3,0.2,0.0
GNN-4,0.2,-1.5994
Greedy,0.2,0.0
SCITE,0.2,-0.0
FCNN-3,0.2,-17.5282
GNN-4,0.2,-38.6712
Greedy,0.2,-17.5282
SCITE,0.2,-0.0
FCNN-3,0.2,0.0
GNN-4,0.2,0.0
Greedy,0.2,0.0
SCITE,0.2,0.0
FCNN-3,0.2,7.9969
GNN-4,0.2,7.9969
Greedy,0.2,7.9969
SCITE,0.2,7.9969
FCNN-3,0.2,9.1802
GNN-4,0.2,7.5808
Greedy,0.2,9.1802
SCITE,0.2,9.1802
FCNN-3,0.2,-1.5994
GNN-4,0.2,-1.5994
Greedy,0.2,-1.5994
SCITE,0.2,-0.0
FCNN-3,0.2,-48.6836
GNN-4,0.2,-109.3952
Greedy,0.2,-75.808
SCITE,0.2,1.5994
FCNN-3,0.2,-19.1275
GNN-4,0.2,-52.2333
Greedy,0.2,-38.6711
SCITE,0.2,0.0
FCNN-3,0.2,-1.5994
GNN-4,0.2,-25.876
Greedy,0.2,-1.5994
SCITE,0.2,7.1647
FCNN-3,0.2,-28.6587
GNN-4,0.2,-9.5963
Greedy,0.2,-28.6587
SCITE,0.2,0.0
FCNN-3,0.2,1.1832
GNN-4,0.2,1.1832
Greedy,0.2,1.1832
SCITE,0.2,1.1832
FCNN-3,0.2,-4.382
GNN-4,0.2,0.0
Greedy,0.2,-4.382
SCITE,0.2,-0.0
FCNN-3,0.2,0.0
GNN-4,0.2,-9.1802
Greedy,0.2,-37.904
SCITE,0.2,0.0
FCNN-3,0.2,-14.7455
GNN-4,0.2,-8.4131
Greedy,0.2,-14.7455
SCITE,0.2,4.382
FCNN-3,0.2,4.7981
GNN-4,0.2,4.7981
Greedy,0.2,4.7981
SCITE,0.2,4.7981
FCNN-3,0.2,-7.5808
GNN-4,0.2,-3.1988
Greedy,0.2,-7.5808
SCITE,0.2,0.0
FCNN-3,0.2,-13.9784
GNN-4,0.2,-28.3077
Greedy,0.2,-22.7425
SCITE,0.2,4.382
FCNN-3,0.3,-1.1707
GNN-4,0.3,-1.1707
Greedy,0.3,-9.5281
SCITE,0.3,-1.1707
FCNN-3,0.3,10.0241
GNN-4,0.3,6.9695
Greedy,0.3,10.0241
SCITE,0.3,10.6908
FCNN-3,0.3,1.8849
GNN-4,0.3,0.6909
Greedy,0.3,1.8849
SCITE,0.3,1.8849
FCNN-3,0.3,-0.6201
GNN-4,0.3,-24.7776
Greedy,0.3,-21.5835
SCITE,0.3,-0.6201
FCNN-3,0.3,8.7834
GNN-4,0.3,6.3956
Greedy,0.3,-31.3137
SCITE,0.3,8.7834
FCNN-3,0.3,0.4482
GNN-4,0.3,-9.2427
Greedy,0.3,-1.9396
SCITE,0.3,4.6967
FCNN-3,0.3,-8.5085
GNN-4,0.3,-2.6785
Greedy,0.3,-61.8783
SCITE,0.3,2.764
FCNN-3,0.3,-3.421
GNN-4,0.3,-2.2271
Greedy,0.3,-0.3665
SCITE,0.3,1.3547
FCNN-3,0.3,0.6969
GNN-4,0.3,-2.3577
Greedy,0.3,0.6969
SCITE,0.3,0.6969
FCNN-3,0.3,-3.7709
GNN-4,0.3,1.0048
Greedy,0.3,-4.9648
SCITE,0.3,1.0048
FCNN-3,0.3,-7.3519
GNN-4,0.3,-1.9095
Greedy,0.3,-15.8489
SCITE,0.3,1.1451
FCNN-3,0.3,-3.0127
GNN-4,0.3,-7.7884
Greedy,0.3,-3.0127
SCITE,0.3,-3.0127
FCNN-3,0.3,1.1596
GNN-4,0.3,-2.4221
Greedy,0.3,-3.0888
SCITE,0.3,6.0749
FCNN-3,0.3,1.2728
GNN-4,0.3,-36.6846
Greedy,0.3,-21.024
SCITE,0.3,10.9638
FCNN-3,0.3,1.5262
GNN-4,0.3,-8.1647
Greedy,0.3,-20.1039
SCITE,0.3,2.7201
FCNN-3,0.3,-17.9562
GNN-4,0.3,-13.9558
Greedy,0.3,-17.9562
SCITE,0.3,-0.8227
FCNN-3,0.3,2.8713
GNN-4,0.3,-16.5106
Greedy,0.3,4.0652
SCITE,0.3,4.0652
FCNN-3,0.3,5.0924
GNN-4,0.3,5.7591
Greedy,0.3,5.0924
SCITE,0.3,9.3409
FCNN-3,0.3,-1.3626
GNN-4,0.3,-6.6655
Greedy,0.3,-9.8596
SCITE,0.3,2.8859
FCNN-3,0.3,-34.1192
GNN-4,0.3,3.1714
Greedy,0.3,-17.5439
SCITE,0.3,11.0017
FCNN-3,0.3,-5.699
GNN-4,0.3,-4.5051
Greedy,0.3,-5.699
SCITE,0.3,-1.4505
FCNN-3,0.3,-2.6122
GNN-4,0.3,1.1091
Greedy,0.3,-3.1394
SCITE,0.3,1.6363
FCNN-3,0.3,11.6393
GNN-4,0.3,10.4453
Greedy,0.3,9.2514
SCITE,0.3,12.1664
FCNN-3,0.3,-0.0713
GNN-4,0.3,-20.5075
Greedy,0.3,-24.8955
SCITE,0.3,5.3711
FCNN-3,0.3,-15.0651
GNN-4,0.3,-3.1259
Greedy,0.3,-6.8472
SCITE,0.3,1.6498
FCNN-3,0.3,-2.1979
GNN-4,0.3,-5.2524
Greedy,0.3,-6.4464
SCITE,0.3,-2.1979
FCNN-3,0.3,-0.7652
GNN-4,0.3,1.6226
Greedy,0.3,-0.7652
SCITE,0.3,3.4833
FCNN-3,0.3,1.1685
GNN-4,0.3,-24.8497
Greedy,0.3,-7.3285
SCITE,0.3,7.8048
FCNN-3,0.3,2.3576
GNN-4,0.3,6.6061
Greedy,0.3,2.3576
SCITE,0.3,6.6061
FCNN-3,0.3,-1.8226
GNN-4,0.3,-2.4894
Greedy,0.3,-6.0711
SCITE,0.3,-1.8226
FCNN-3,0.3,4.4198
GNN-4,0.3,2.032
Greedy,0.3,0.8381
SCITE,0.3,4.4198
FCNN-3,0.3,-23.9443
GNN-4,0.3,-6.8108
Greedy,0.3,-39.4653
SCITE,0.3,3.9345
FCNN-3,0.3,-1.7906
GNN-4,0.3,-0.5967
Greedy,0.3,-2.9845
SCITE,0.3,1.264
FCNN-3,0.3,-0.4982
GNN-4,0.3,-19.88
Greedy,0.3,-0.4982
SCITE,0.3,-0.4982
FCNN-3,0.3,-10.7232
GNN-4,0.3,-17.3596
Greedy,0.3,-10.7232
SCITE,0.3,-0.3656
FCNN-3,0.3,1.6333
GNN-4,0.3,1.1061
Greedy,0.3,1.6333
SCITE,0.3,2.3
FCNN-3,0.3,9.9939
GNN-4,0.3,9.9939
Greedy,0.3,9.9939
SCITE,0.3,9.9939
FCNN-3,0.3,-25.4218
GNN-4,0.3,-29.0036
Greedy,0.3,-41.6096
SCITE,0.3,3.6509
FCNN-3,0.3,2.3867
GNN-4,0.3,-4.1101
Greedy,0.3,-13.4133
SCITE,0.3,2.3867
FCNN-3,0.3,-3.3315
GNN-4,0.3,-3.3315
Greedy,0.3,-11.8285
SCITE,0.3,-3.3315
FCNN-3,0.3,-6.1072
GNN-4,0.3,-1.8587
Greedy,0.3,-10.3557
SCITE,0.3,-1.8587
FCNN-3,0.3,3.8878
GNN-4,0.3,-0.8879
Greedy,0.3,3.8878
SCITE,0.3,3.8878
FCNN-3,0.3,3.4872
GNN-4,0.3,0.4327
Greedy,0.3,3.4872
SCITE,0.3,3.4872
FCNN-3,0.3,8.9804
GNN-4,0.3,5.9258
Greedy,0.3,8.9804
SCITE,0.3,8.9804
FCNN-3,0.3,-1.6678
GNN-4,0.3,-6.583
Greedy,0.3,-17.4678
SCITE,0.3,-1.6678
FCNN-3,0.3,-1.5147
GNN-4,0.3,1.5398
Greedy,0.3,-17.7025
SCITE,0.3,6.9822
FCNN-3,0.3,-3.2076
GNN-4,0.3,-9.1772
Greedy,0.3,-15.674
SCITE,0.3,9.5379
FCNN-3,0.3,5.994
GNN-4,0.3,-0.7819
Greedy,0.3,5.994
SCITE,0.3,5.994
FCNN-3,0.3,1.0915
GNN-4,0.3,-1.8236
Greedy,0.3,-30.5086
SCITE,0.3,4.1461
FCNN-3,0.3,6.8703
GNN-4,0.3,-2.9601
Greedy,0.3,5.6764
SCITE,0.3,6.8703
FCNN-3,0.3,-17.3224
GNN-4,0.3,-5.1041
Greedy,0.3,-17.3224
SCITE,0.3,-0.3284
FCNN-3,0.3,6.0056
GNN-4,0.3,0.5632
Greedy,0.3,6.0056
SCITE,0.3,6.6723
FCNN-3,0.3,-3.6765
GNN-4,0.3,0.572
Greedy,0.3,-4.8704
SCITE,0.3,0.572
FCNN-3,0.3,-10.151
GNN-4,0.3,-2.9874
Greedy,0.3,-11.3449
SCITE,0.3,-1.1268
FCNN-3,0.3,0.3001
GNN-4,0.3,-5.8091
Greedy,0.3,0.3001
SCITE,0.3,0.3001
FCNN-3,0.3,2.303
GNN-4,0.3,-2.6122
Greedy,0.3,2.303
SCITE,0.3,5.8848
FCNN-3,0.3,12.9774
GNN-4,0.3,8.5894
Greedy,0.3,12.9774
SCITE,0.3,12.9774
FCNN-3,0.3,-6.272
GNN-4,0.3,-17.6841
Greedy,0.3,-6.272
SCITE,0.3,5.2795
FCNN-3,0.3,-0.9495
GNN-4,0.3,-0.9495
Greedy,0.3,-0.9495
SCITE,0.3,-0.9495
FCNN-3,0.3,2.7855
GNN-4,0.3,-4.5176
Greedy,0.3,2.7855
SCITE,0.3,2.7855
FCNN-3,0.3,-1.5558
GNN-4,0.3,-1.5558
Greedy,0.3,-0.889
SCITE,0.3,-0.889
FCNN-3,0.3,-0.3588
GNN-4,0.3,-4.0801
Greedy,0.3,-34.3468
SCITE,0.3,-0.3588
FCNN-3,0.3,-5.114
GNN-4,0.3,0.3284
Greedy,0.3,-25.1626
SCITE,0.3,2.0495
FCNN-3,0.3,-5.4191
GNN-4,0.3,-5.4191
Greedy,0.3,-5.4191
SCITE,0.3,-1.1706
FCNN-3,0.3,-29.2278
GNN-4,0.3,-21.1185
Greedy,0.3,-58.161
SCITE,0.3,1.0389
FCNN-3,0.3,2.1889
GNN-4,0.3,0.995
Greedy,0.3,-1.3928
SCITE,0.3,2.1889
FCNN-3,0.3,-0.9834
GNN-4,0.3,0.7378
Greedy,0.3,0.2106
SCITE,0.3,1.9317
FCNN-3,0.3,-1.2564
GNN-4,0.3,-18.7776
Greedy,0.3,-1.2564
SCITE,0.3,2.9921
FCNN-3,0.3,-14.3332
GNN-4,0.3,-13.1393
Greedy,0.3,-14.8604
SCITE,0.3,7.4365
FCNN-3,0.3,1.4745
GNN-4,0.3,1.4745
Greedy,0.3,1.4745
SCITE,0.3,1.4745
FCNN-3,0.3,-2.0878
GNN-4,0.3,-3.4212
Greedy,0.3,-2.0878
SCITE,0.3,2.1607
FCNN-3,0.3,-6.1278
GNN-4,0.3,-7.3217
Greedy,0.3,-6.1278
SCITE,0.3,-6.1278
FCNN-3,0.3,-16.9317
GNN-4,0.3,-5.9074
Greedy,0.3,-16.9317
SCITE,0.3,-2.3256
FCNN-3,0.3,0.4335
GNN-4,0.3,-7.5363
Greedy,0.3,-0.7604
SCITE,0.3,4.682
FCNN-3,0.3,0.1297
GNN-4,0.3,0.6569
Greedy,0.3,-9.5612
SCITE,0.3,4.3782
FCNN-3,0.3,-1.5284
GNN-4,0.3,-17.0494
Greedy,0.3,-27.407
SCITE,0.3,2.0534
FCNN-3,0.3,4.9716
GNN-4,0.3,1.9171
Greedy,0.3,4.9716
SCITE,0.3,4.9716
FCNN-3,0.3,0.1842
GNN-4,0.3,-4.5915
Greedy,0.3,-4.5915
SCITE,0.3,0.1842
FCNN-3,0.3,4.9902
GNN-4,0.3,1.9356
Greedy,0.3,3.1296
SCITE,0.3,4.9902
FCNN-3,0.3,-0.7818
GNN-4,0.3,-1.9758
Greedy,0.3,-0.1151
SCITE,0.3,-0.1151
FCNN-3,0.3,-3.275
GNN-4,0.3,-3.275
Greedy,0.3,-16.5477
SCITE,0.3,0.9735
FCNN-3,0.3,-0.0839
GNN-4,0.3,1.6372
Greedy,0.3,-9.6353
SCITE,0.3,4.1646
FCNN-3,0.3,-24.1564
GNN-4,0.3,-31.0718
Greedy,0.3,-28.4049
SCITE,0.3,4.6373
FCNN-3,0.3,-8.4202
GNN-4,0.3,1.4103
Greedy,0.3,-2.8382
SCITE,0.3,1.4103
FCNN-3,0.3,-4.7242
GNN-4,0.3,-4.197
Greedy,0.3,-5.9181
SCITE,0.3,3.7728
FCNN-3,0.3,6.0564
GNN-4,0.3,-19.2951
Greedy,0.3,1.8079
SCITE,0.3,6.0564
FCNN-3,0.3,-0.2593
GNN-4,0.3,-10.0898
Greedy,0.3,-0.2593
SCITE,0.3,-0.2593
FCNN-3,0.3,0.3742
GNN-4,0.3,-6.7893
Greedy,0.3,-16.6198
SCITE,0.3,0.3742
FCNN-3,0.3,-2.2633
GNN-4,0.3,-2.2633
Greedy,0.3,-2.2633
SCITE,0.3,-2.2633
FCNN-3,0.3,0.2173
GNN-4,0.3,-0.9766
Greedy,0.3,0.2173
SCITE,0.3,0.2173
FCNN-3,0.3,-10.1492
GNN-4,0.3,-2.8461
Greedy,0.3,-36.4155
SCITE,0.3,1.4024
FCNN-3,0.3,0.7291
GNN-4,0.3,-10.2952
Greedy,0.3,-0.4648
SCITE,0.3,4.3109
FCNN-3,0.3,2.2581
GNN-4,0.3,-34.1177
Greedy,0.3,-1.9904
SCITE,0.3,2.2581
FCNN-3,0.3,-54.0021
GNN-4,0.3,-41.1481
Greedy,0.3,-54.9479
SCITE,0.3,9.9734
FCNN-3,0.3,10.53
GNN-4,0.3,10.53
Greedy,0.3,10.53
SCITE,0.3,10.53
FCNN-3,0.3,-10.7387
GNN-4,0.3,-10.2115
Greedy,0.3,-9.5448
SCITE,0.3,-1.0478
FCNN-3,0.3,-1.5741
GNN-4,0.3,-3.9619
Greedy,0.3,-1.5741
SCITE,0.3,-1.5741
FCNN-3,0.3,6.3283
GNN-4,0.3,1.5526
Greedy,0.3,-9.999
SCITE,0.3,6.3283
FCNN-3,0.3,-2.3724
GNN-4,0.3,-4.7603
Greedy,0.3,-2.3724
SCITE,0.3,-2.3724
FCNN-3,0.3,-1.5713
GNN-4,0.3,-1.5713
Greedy,0.3,-1.5713
SCITE,0.3,-1.5713
FCNN-3,0.4,0.7496
GNN-4,0.4,4.844
Greedy,0.4,0.7496
SCITE,0.4,6.2196
FCNN-3,0.4,-3.631
GNN-4,0.4,-2.7248
Greedy,0.4,-3.631
SCITE,0.4,-2.7248
FCNN-3,0.4,4.7068
GNN-4,0.4,3.3312
Greedy,0.4,2.8943
SCITE,0.4,8.3318
FCNN-3,0.4,1.9318
GNN-4,0.4,3.2749
Greedy,0.4,-10.3513
SCITE,0.4,5.5567
FCNN-3,0.4,3.0243
GNN-4,0.4,3.0243
Greedy,0.4,-15.6349
SCITE,0.4,8.0249
FCNN-3,0.4,3.5057
GNN-4,0.4,0.3176
Greedy,0.4,3.5057
SCITE,0.4,3.5057
FCNN-3,0.4,-2.8551
GNN-4,0.4,0.7699
Greedy,0.4,-5.137
SCITE,0.4,3.0517
FCNN-3,0.4,-0.3648
GNN-4,0.4,0.5414
Greedy,0.4,-5.3654
SCITE,0.4,1.917
FCNN-3,0.4,-3.2255
GNN-4,0.4,-3.2255
Greedy,0.4,-3.2255
SCITE,0.4,-3.2255
FCNN-3,0.4,11.4405
GNN-4,0.4,4.5624
Greedy,0.4,3.2518
SCITE,0.4,14.1592
FCNN-3,0.4,-14.5527
GNN-4,0.4,-13.614
Greedy,0.4,-14.0833
SCITE,0.4,-2.2697
FCNN-3,0.4,3.7834
GNN-4,0.4,3.7834
Greedy,0.4,3.7834
SCITE,0.4,3.7834
FCNN-3,0.4,-3.2209
GNN-4,0.4,-15.5039
Greedy,0.4,-5.0334
SCITE,0.4,-0.939
FCNN-3,0.4,14.7475
GNN-4,0.4,7.4651
Greedy,0.4,15.6538
SCITE,0.4,16.56
FCNN-3,0.4,-11.3367
GNN-4,0.4,-7.2424
Greedy,0.4,-11.3367
SCITE,0.4,-4.5237
FCNN-3,0.4,-5.1359
GNN-4,0.4,-3.7602
Greedy,0.4,-40.5768
SCITE,0.4,3.9591
FCNN-3,0.4,-4.2982
GNN-4,0.4,-11.6131
Greedy,0.4,-4.2982
SCITE,0.4,3.8905
FCNN-3,0.4,6.1966
GNN-4,0.4,3.4453
Greedy,0.4,4.3841
SCITE,0.4,6.1966
FCNN-3,0.4,-0.6301
GNN-4,0.4,-1.9732
Greedy,0.4,-1.5363
SCITE,0.4,2.1212
FCNN-3,0.4,0.7888
GNN-4,0.4,-9.2124
Greedy,0.4,-3.3055
SCITE,0.4,0.7888
FCNN-3,0.4,17.6031
GNN-4,0.4,12.1331
Greedy,0.4,13.5087
SCITE,0.4,17.6031
FCNN-3,0.4,1.5873
GNN-4,0.4,-2.5071
Greedy,0.4,-9.757
SCITE,0.4,1.5873
FCNN-3,0.4,1.8903
GNN-4,0.4,-2.204
Greedy,0.4,-23.0801
SCITE,0.4,2.3597
FCNN-3,0.4,1.3185
GNN-4,0.4,4.0373
Greedy,0.4,-1.4002
SCITE,0.4,5.4129
FCNN-3,0.4,-7.9303
GNN-4,0.4,2.1034
Greedy,0.4,-7.9303
SCITE,0.4,6.1977
FCNN-3,0.4,-12.5019
GNN-4,0.4,-3.4069
Greedy,0.4,-43.8159
SCITE,0.4,-1.1251
FCNN-3,0.4,4.1529
GNN-4,0.4,1.871
Greedy,0.4,4.1529
SCITE,0.4,4.1529
FCNN-3,0.4,2.8996
GNN-4,0.4,2.8996
Greedy,0.4,2.8996
SCITE,0.4,6.994
FCNN-3,0.4,-1.0977
GNN-4,0.4,-1.5671
Greedy,0.4,-1.502
SCITE,0.4,8.4666
FCNN-3,0.4,-7.8079
GNN-4,0.4,-5.5261
Greedy,0.4,-24.1528
SCITE,0.4,5.3488
FCNN-3,0.4,3.1991
GNN-4,0.4,-1.3321
Greedy,0.4,-0.8952
SCITE,0.4,3.1991
FCNN-3,0.4,14.5488
GNN-4,0.4,12.2669
Greedy,0.4,13.6425
SCITE,0.4,14.5488
FCNN-3,0.4,6.0635
GNN-4,0.4,3.7817
Greedy,0.4,6.0635
SCITE,0.4,6.0635
FCNN-3,0.4,4.8282
GNN-4,0.4,4.8282
Greedy,0.4,4.8282
SCITE,0.4,5.7344
FCNN-3,0.4,6.9697
GNN-4,0.4,-2.1577
Greedy,0.4,6.9697
SCITE,0.4,8.7822
FCNN-3,0.4,-4.4238
GNN-4,0.4,-3.9544
Greedy,0.4,-4.4238
SCITE,0.4,-0.3294
FCNN-3,0.4,-11.9489
GNN-4,0.4,-6.0096
Greedy,0.4,-11.9489
SCITE,0.4,1.7097
FCNN-3,0.4,10.5994
GNN-4,0.4,-4.4674
Greedy,0.4,10.5994
SCITE,0.4,10.5994
FCNN-3,0.4,3.0948
GNN-4,0.4,3.0948
Greedy,0.4,-6.9063
SCITE,0.4,3.0948
FCNN-3,0.4,7.2531
GNN-4,0.4,4.5019
Greedy,0.4,-9.5936
SCITE,0.4,9.9719
FCNN-3,0.4,-4.1651
GNN-4,0.4,-14.1337
Greedy,0.4,-22.7918
SCITE,0.4,9.0242
FCNN-3,0.4,-0.6614
GNN-4,0.4,-4.3189
Greedy,0.4,-0.6614
SCITE,0.4,-0.6614
FCNN-3,0.4,-9.0649
GNN-4,0.4,-3.595
Greedy,0.4,-25.8467
SCITE,0.4,-0.8763
FCNN-3,0.4,-2.4632
GNN-4,0.4,-10.6844
Greedy,0.4,-2.4632
SCITE,0.4,1.6311
FCNN-3,0.4,-8.3251
GNN-4,0.4,-6.4801
Greedy,0.4,-8.3251
SCITE,0.4,2.1779
FCNN-3,0.4,11.8885
GNN-4,0.4,8.7004
Greedy,0.4,11.8885
SCITE,0.4,11.8885
FCNN-3,0.4,-9.6665
GNN-4,0.4,-6.009
Greedy,0.4,-11.479
SCITE,0.4,1.7103
FCNN-3,0.4,-3.4996
GNN-4,0.4,-4.8752
Greedy,0.4,-3.4996
SCITE,0.4,-3.4996
FCNN-3,0.4,7.0455
GNN-4,0.4,6.5761
Greedy,0.4,2.9511
SCITE,0.4,7.0455
FCNN-3,0.4,-12.5089
GNN-4,0.4,-5.2264
Greedy,0.4,-12.5089
SCITE,0.4,-4.3202
FCNN-3,0.4,13.479
GNN-4,0.4,11.6665
Greedy,0.4,14.3853
SCITE,0.4,14.3853
FCNN-3,0.4,-7.3264
GNN-4,0.4,-0.9502
Greedy,0.4,-7.3264
SCITE,0.4,2.7073
FCNN-3,0.4,9.5197
GNN-4,0.4,6.7685
Greedy,0.4,5.4254
SCITE,0.4,9.5197
FCNN-3,0.4,-0.8698
GNN-4,0.4,-5.8704
Greedy,0.4,-1.7761
SCITE,0.4,0.0364
FCNN-3,0.4,4.0403
GNN-4,0.4,6.3222
Greedy,0.4,7.2284
SCITE,0.4,14.074
FCNN-3,0.4,7.6889
GNN-4,0.4,7.6889
Greedy,0.4,7.6889
SCITE,0.4,7.6889
FCNN-3,0.4,0.5953
GNN-4,0.4,-3.4991
Greedy,0.4,-0.311
SCITE,0.4,1.9709
FCNN-3,0.4,-1.3545
GNN-4,0.4,-8.637
Greedy,0.4,0.0211
SCITE,0.4,0.0211
FCNN-3,0.4,-3.9537
GNN-4,0.4,-11.7056
Greedy,0.4,-18.0167
SCITE,0.4,0.1406
FCNN-3,0.4,12.2503
GNN-4,0.4,-6.409
Greedy,0.4,12.2503
SCITE,0.4,13.1565
FCNN-3,0.4,5.2561
GNN-4,0.4,5.2561
Greedy,0.4,5.2561
SCITE,0.4,5.2561
FCNN-3,0.4,15.7545
GNN-4,0.4,15.2851
Greedy,0.4,15.2851
SCITE,0.4,15.7545
FCNN-3,0.4,-1.7561
GNN-4,0.4,-3.5685
Greedy,0.4,-6.7566
SCITE,0.4,-1.7561
FCNN-3,0.4,10.9149
GNN-4,0.4,9.5393
Greedy,0.4,10.9149
SCITE,0.4,10.9149
FCNN-3,0.4,-2.0235
GNN-4,0.4,1.6015
Greedy,0.4,-31.0882
SCITE,0.4,2.5402
FCNN-3,0.4,-0.8745
GNN-4,0.4,5.0323
Greedy,0.4,0.938
SCITE,0.4,5.0323
FCNN-3,0.4,8.7004
GNN-4,0.4,8.2636
Greedy,0.4,5.5449
SCITE,0.4,10.9823
FCNN-3,0.4,2.0224
GNN-4,0.4,-0.7289
Greedy,0.4,2.0224
SCITE,0.4,2.0224
FCNN-3,0.4,7.0372
GNN-4,0.4,-1.6209
Greedy,0.4,7.0372
SCITE,0.4,7.0372
FCNN-3,0.4,4.679
GNN-4,0.4,4.679
Greedy,0.4,2.8665
SCITE,0.4,4.679
FCNN-3,0.4,-13.0605
GNN-4,0.4,-8.4968
Greedy,0.4,-13.9667
SCITE,0.4,-0.3081
FCNN-3,0.4,-2.0779
GNN-4,0.4,-15.7366
Greedy,0.4,-0.2655
SCITE,0.4,1.547
FCNN-3,0.4,-0.2027
GNN-4,0.4,1.6098
Greedy,0.4,-10.6732
SCITE,0.4,1.6098
FCNN-3,0.4,6.8969
GNN-4,0.4,-2.6674
Greedy,0.4,6.8969
SCITE,0.4,6.8969
FCNN-3,0.4,7.8132
GNN-4,0.4,4.6251
Greedy,0.4,7.8132
SCITE,0.4,7.8132
FCNN-3,0.4,-4.2017
GNN-4,0.4,-11.4842
Greedy,0.4,-4.2017
